0.000000,425,503,844,37,53,229,221,862,941,284,443,969,489,588,995,306,330,348,108,344,788,606,660,918,126,601,998,149,408,986,891,957,994,514,531,640,38,374,808,28,144,686,221,328,397,407,593,986,581,677,829,268,274,912,126,411,630,142,790,957,351,492,876,215,272,966,378,546,689,35,397,624,395,436,444,570,789,877,513,971,990,77,165,381,290,415,509,456,937,954,173,297,760,355,733,824,117,356,395,631,954,958,575,592,774,25,374,621,9,595,636,305,697,897,46,98,529,146,459,677,366,402,534,202,312,472,33,370,652,88,111,380,234,268,390,445,953,989,352,460,659,794,955,961,110,118,500,599,723,820
0.458756,395,436,444,395,436,444,575,592,733,534,514,640,397,274,912,290,415,344,149,408,986,274,952,531,234,390,460,165,381,444,789,877,397,142,790,509,312,789,877,986,581,829,723,514,531,88,111,581,601,352,460,126,415,509,35,624,989,407,986,443,38,118,500,640,356,395,592,774,395,117,356,144,514,117,395,472,460,659,492,876,284,640,378,689,38,374,165,689,395,436,395,290,509,954,374,621,374,330,348,284,969,381,126,202,312,937,954,472,356,395,581,98,529,677,221,110,500,37,53,229,173,297,378,381,531,640,378,546,689,760,366,402,234,268,390,306,173,297,918,312,472,312,351,492,660,918,390,444,570,877
0.544112,395,436,444,351,689,436,689,395,592,407,986,390,592,395,760,760,366,529,378,689,546,381,444,436,592,774,581,395,436,546,290,415,344,877,397,514,640,356,395,312,789,378,284,381,733,570,877,514,142,356,395,381,274,531,356,395,492,395,436,509,509,395,290,110,500,492,514,117,395,38,374,165,142,234,268,723,514,640,723,531,677,397,952,531,395,274,912,640,689,395,640,689,312,378,689,592,297,436,444,529,677,374,126,509,918,378,689,760,509,415,344,952,381,444,126,509,297,472,460,659,395,509,415,660,390,344,290,531,640,659,297,378,395,640,356,390,877,397,444,570,117,472,142,790,117,356,640,221,500,378
0.614459,395,436,509,677,395,290,378,529,677,444,436,356,407,395,415,509,415,436,509,356,395,531,640,436,381,444,436,221,500,378,117,877,397,689,952,381,356,395,436,531,689,312,142,378,760,381,436,723,546,592,581,356,640,395,444,531,677,436,390,344,689,509,344,221,500,117,640,356,297,659,378,381,723,514,640,640,395,912,509,415,529,381,436,500,395,356,877,378,760,397,760,366,529,444,436,395,444,436,640,436,378,689,660,390,290,297,529,374,397,378,760,689,395,592,395,492,877,660,356,395,221,378,356,381,733,436,297,436,390,436,509,290,659,378,290,640,356,395,126,918,390,356,509,415,460,126,297,290,531,356
0.657400,509,415,529,356,509,126,356,221,117,221,378,415,444,436,356,436,500,723,381,677,395,509,415,436,407,395,356,378,529,677,509,356,395,381,660,290,760,366,531,640,221,378,723,689,344,415,436,514,444,436,509,356,407,415,356,877,415,436,500,390,356,509,444,640,297,374,415,509,356,509,436,395,760,381,500,381,444,677,436,356,660,509,415,529,378,529,640,436,344,381,290,297,374,221,500,592,297,415,529,356,877,290,436,390,344,689,395,592,415,529,366,395,415,492,381,444,509,436,509,344,436,378,689,436,381,723,344,381,500,509,356,395,677,640,356,640,356,395,395,415,444,378,514,640,378,297,390,509,444,531
0.697963,509,444,531,415,356,444,640,356,395,509,444,415,529,297,374,436,500,723,356,395,492,509,677,395,509,529,436,444,436,395,436,356,660,395,407,356,378,529,640,415,436,509,640,395,677,509,395,444,381,444,366,381,444,509,689,592,390,297,415,366,344,500,395,509,436,390,395,378,390,677,509,395,381,378,689,415,509,436,436,660,290,356,407,415,444,436,509,415,444,509,415,436,514,415,436,395,407,436,390,509,415,436,395,356,660,415,529,436,509,395,344,640,356,509,356,660,514,436,500,390,221,469,415,444,436,378,436,378,689,378,529,640,436,415,529,509,529,531,436,356,395,381,660,290,378,689,444,509,356,760
0.737496,509,529,531,356,395,531,415,529,444,436,509,514,436,378,390,395,436,660,436,378,689,640,677,529,436,290,395,500,395,356,356,407,514,444,509,436,436,395,374,356,444,407,436,689,390,356,660,509,415,660,290,378,640,509,436,415,640,356,509,531,356,514,436,640,436,514,436,381,366,592,390,444,221,436,378,297,415,366,509,356,640,436,395,529,436,500,390,444,436,395,640,415,509,436,529,509,509,395,344,509,677,529,415,529,509,509,500,390,381,509,436,514,444,395,395,444,509,689,592,395,444,436,395,529,531,395,381,660,290,374,407,356,415,436,529,509,436,395,444,592,390,356,514,395,356,660,500,407,436,531
0.747839,509,529,531,395,529,531,660,500,390,378,509,395,500,689,390,509,395,390,509,500,378,436,356,395,356,415,366,529,660,509,415,436,531,378,640,356,660,444,436,395,415,509,660,290,436,444,395,356,378,640,529,356,407,529,297,509,531,395,356,660,529,509,444,356,660,500,640,514,356,356,395,660,436,514,689,378,640,436,660,290,415,509,395,444,436,395,509,395,356,407,415,436,395,415,529,677,395,444,366,395,378,640,677,529,356,436,689,514,381,395,531,514,436,509,436,660,290,592,390,356,436,356,444,509,436,395,356,640,436,529,444,531,415,509,444,689,395,444,415,640,509,415,436,514,509,390,290,529,436,500
0.744408,509,529,531,378,529,509,500,395,356,509,529,531,356,660,529,509,378,395,444,415,509,415,395,529,529,436,531,444,395,356,395,531,509,356,415,640,509,395,514,514,509,531,529,390,290,660,436,509,436,444,531,356,500,407,529,415,436,529,436,444,290,529,531,436,395,640,415,640,509,415,436,677,378,395,356,390,444,436,436,689,415,509,436,356,509,395,444,529,356,660,436,444,677,529,509,660,660,500,390,356,444,531,436,509,500,509,689,514,436,395,444,436,415,444,500,390,509,356,500,395,689,356,407,356,415,640,509,500,529,378,395,531,390,290,660,529,436,444,640,378,356,529,500,531,509,395,444,444,395,356
0.766479,509,500,529,395,444,531,436,531,509,531,290,529,509,444,531,444,677,395,415,436,444,436,509,407,436,444,677,390,509,529,660,529,436,444,689,514,415,395,529,395,444,509,531,395,514,378,395,356,529,436,395,640,356,529,436,531,500,390,509,415,509,444,436,640,378,531,356,436,677,531,509,395,407,529,444,356,660,436,509,395,444,415,436,677,356,529,436,415,395,407,415,640,444,509,529,531,509,640,378,500,509,529,356,407,529,436,677,290,531,395,514,529,436,356,531,356,640,529,436,509,390,415,509,509,500,529,509,500,444,444,500,356,356,500,660,356,500,407,290,660,407,500,531,378,444,531,415,415,436,395
